Item_ID,Unit_Price
214507331,3141
214507365,518
214507385,292
214507387,248.89
214507408,240
214507415,470
214507445,167
214507447,208
214507492,313
214507556,313
214507610,187
214507708,313
214507802,470
214508027,229
214508225,397
214508244,208
214508287,891.78
214508304,732
214508308,732
214508347,2093
214508439,3559
214508475,593
214508531,12462
214508535,292
214508557,2826
214508563,3141
214508576,6596
214508585,9424
214508942,29217
214508964,15603
214509002,9424
214509013,73460.8
214509037,26075
214509039,22934
214509041,28170
214509084,8191.65
214509125,5026
214509142,4188
214509144,3141
214509148,3036
214509150,2617
214509152,3664
214509155,2931
214509157,3664
214509161,6806
214509163,8377
214509172,7329
214509174,3036
214509206,1570
214509260,198863
214509296,1884
214509300,2722
214509305,1674
214509307,1884
214509311,1884
214509313,1884
214509320,2931
214509354,3036
214509356,1989
214509358,3036
214509399,5759
214509401,2093
214509517,41783
214509525,518
214509527,518
214509572,1360
214509592,2093
214509600,2617
214509609,837
214509611,941
214509628,1151
214509632,941
214509639,627
214509652,2617
214509656,2408
214509658,2617
214509673,3141
214509699,2512
214509701,2512
214509703,2826
214509716,3141
214509731,2198
214509737,2512
214509740,2408
214509748,2722
214509750,439
214509752,2303
214509770,2093
214509778,3141
214509782,2826
214509787,3455
214509830,8900
214509842,3559
214509845,13509
214509864,2093
214509870,18221
214509877,313
214509879,365
214509881,418
214509892,313
214509907,418
214509909,313
214509915,606
214509920,376
214509930,523
214509939,732
214509943,523
214509980,732
214509982,732
214509984,732
214510048,2329.25
214510057,2931
214510074,3455
214510089,4921
214510091,7120
214510445,8397.71
214510447,12462
214510449,14898.55
214510451,16878.73
214510453,23981
214510455,30264
214510460,2931
214510689,23981
214510700,36547
214510755,8377
214510757,5235
214510772,17174
214510775,2931
214510777,4711
214510779,345
214510781,6806
214510783,4711
214510785,8377
214510805,10891
214510807,1360
214510820,8377
214510854,11414
214510875,16650
214511015,6551.23
214511047,9424
214511055,941
214511057,1360
214511062,1360
214511068,627
214511070,5130
214511072,4397
214511075,6701
214511083,2408
214511092,4711
214511109,1151
214511115,1151
214511117,2408
214511120,1465
214511319,1465
214511465,9424
214511488,5235
214511501,5235
214511664,11414
214511696,7329
214511803,4841.92
214511816,6282
214511840,5235
214511870,10471
214511966,1884
214512080,1360
214512122,1779
214512137,1779
214512152,1256
214512189,9947
214512236,9738
214512262,8377
214512277,11414
214512416,12462
214512425,10891
214512504,33406
214512506,40736
214512605,3955.33
214512611,9424
214512635,1674
214512647,3141
214512652,2931
214512656,1884
214512658,1674
214512665,1674
214512669,4502
214512671,5235
214512673,4711
214512675,4711
214512682,3874
214513063,12462
214513065,14032
214513155,8377
214513170,4071.67
214513284,2093
214513286,1674
214513288,1360
214513290,523
214513299,1674
214513329,1989
214513331,1884
214513335,2408
214513342,2512
214513348,2408
214513350,2512
214513352,2722
214513355,2826
214513357,2722
214513359,1884
214513363,1779
214513365,1674
214513370,1570
214513387,1360
